image_url,book_name,category_name
https://books.toscrape.com/media/cache/54/a3/54a3916506dc5bd1a6ea2200a3d0b28f.jpg,Black Flags: The Rise of ISIS,Nonfiction
https://books.toscrape.com/media/cache/18/c1/18c1089811f55295b689bda892628fee.jpg,Are We Smart Enough to Know How Smart Animals Are?,Nonfiction
https://books.toscrape.com/media/cache/39/51/3951dc08d449aa692ce82eefb692254e.jpg,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Nonfiction
https://books.toscrape.com/media/cache/8f/39/8f399ee98cb1a7c77525123b00d4b3e0.jpg,"The Suffragettes (Little Black Classics, #96)",Nonfiction
https://books.toscrape.com/media/cache/06/71/0671e3db3053c0dc22122eda29d6734c.jpg,Kindle Paperwhite User's Guide,Nonfiction
https://books.toscrape.com/media/cache/14/00/140096c16c6e0b5d6df9d19f9493e8a5.jpg,H is for Hawk,Nonfiction
https://books.toscrape.com/media/cache/3f/c2/3fc2d771fe5f12df5de998d99036a35a.jpg,Travels with Charley: In Search of America,Nonfiction
https://books.toscrape.com/media/cache/8a/14/8a14b06317e794b3469e57d20270f80f.jpg,The Tumor,Nonfiction
https://books.toscrape.com/media/cache/fa/9d/fa9db3f9dfc5a859c091d1262a56a89f.jpg,The End of the Jesus Era (An Investigation #1),Nonfiction
https://books.toscrape.com/media/cache/5b/82/5b827f00893b7119360e8a67d939e0b5.jpg,"Eat, Pray, Love",Nonfiction
